Name,Age,Married/Single,Experience,Profession,CURRENT_JOB_YRS,House_Ownership,Car_Ownership,CURRENT_HOUSE_YRS,income,City,State
David Ferguson,52,0,50,18,1,0,1,29,55970.79,Lake Jasonhaven,Massachusetts
Brian Huerta,21,0,26,5,11,1,0,7,111353.76,North Nicholasstad,Connecticut
Michael Allen,51,1,50,7,16,0,0,7,139445.93,Tarastad,Missouri
Taylor Moore,23,1,19,31,7,0,1,4,31106.0,Leebury,Kentucky
David Garrison,46,1,16,29,6,0,1,18,125555.4,Lake Joshua,Maine
Natalie Powell,55,0,27,21,17,2,1,28,145839.49,Toddport,Alabama
Jonathan Cabrera,31,0,1,17,14,1,0,21,11684.45,Annaberg,Iowa
Peter Miller,64,1,6,8,14,0,0,20,13333.65,Garciaborough,Delaware
Jennifer Barrett,21,0,35,40,11,0,0,14,14953.79,Charlesville,North Carolina
Gabriel Reid,22,1,10,7,12,1,0,10,71483.31,South Tyler,Wyoming
Jeanne Collins,40,1,4,34,10,2,1,30,78409.04,South Jessica,Delaware
Kyle Williamson MD,29,1,15,35,4,1,0,30,65389.31,Sparksfort,Illinois
Amanda Brooks,21,0,45,30,12,1,0,13,76135.12,Karenmouth,Minnesota
Hector Chapman,58,0,42,31,19,1,1,8,80277.9,Port Kimberlychester,Michigan
David Burgess,22,0,1,37,17,0,0,16,95458.04,East Audreychester,Iowa
Cody Miller,58,0,39,9,4,1,0,13,61122.09,Lake Jenniferstad,Ohio
Mitchell Thomas,60,0,15,25,12,0,0,14,80849.85,Jamesview,Michigan
Christian Harper,28,0,15,10,20,0,1,8,60976.53,East Michellechester,Michigan
Michael Hart,46,0,13,37,12,0,1,1,30082.45,South Bryan,Maine
Caroline Potter,55,0,27,17,17,2,1,25,40241.05,Holmesmouth,Vermont
Mark Stewart,54,1,34,19,12,1,1,26,115195.14,East Ryanside,Alabama
Raymond Little,25,0,26,21,20,2,0,25,102669.63,Port Richard,Washington
Emily James,62,1,13,11,15,2,0,8,11001.4,East Elizabethmouth,New York
Erin Waters,23,0,12,13,17,0,0,12,100597.17,New Rebekahburgh,North Dakota
Roberto Palmer,70,1,32,8,15,2,1,26,89525.15,Port Stevenhaven,Hawaii
Anthony Adams,39,0,17,15,17,2,1,21,78059.15,Mariestad,Virginia
Jason Ramirez,42,0,45,20,6,1,1,24,102514.96,West Steve,Massachusetts
Sharon Ruiz,38,0,3,16,11,2,0,3,63112.54,North Eric,Rhode Island
Laura Rojas,33,0,9,12,14,2,1,14,131907.37,Adamchester,Utah
Linda Estes,65,1,29,50,10,0,0,1,142898.16,Brownfort,West Virginia
Dennis Turner,23,0,49,21,15,2,1,6,48411.74,Oconnorfurt,Oklahoma
Monica Brown,69,0,47,6,3,0,1,3,136188.85,Lake Gregorybury,Rhode Island
Mark Jenkins,21,0,49,33,6,1,0,22,131263.63,South Sarah,Nevada
Melissa Lewis,38,1,50,41,16,1,1,10,27986.58,Brianview,Oregon
Heather Randolph,21,0,49,12,3,2,1,20,84408.53,Deannamouth,Nevada
Kelsey Wong,63,0,12,30,13,2,0,7,70858.69,Melissastad,New Hampshire
Renee Allen,54,0,5,42,3,0,0,16,39248.93,Markbury,Tennessee
Jessica Henry,68,0,47,2,4,2,0,6,31212.71,Escobarberg,Arizona
Rachel Farmer,47,0,11,27,13,0,1,22,51976.99,New Carrie,Arizona
Ashley Pierce,21,0,22,41,19,1,1,21,83744.42,Lake Ronaldmouth,Ohio
Rebecca West,37,0,23,42,12,1,1,13,135239.4,Cameronmouth,Nebraska
George Singleton,58,1,24,40,17,2,0,10,63195.52,North Darrenmouth,South Carolina
Bryan White,44,1,18,36,16,2,1,29,30595.38,Stephanieland,Pennsylvania
Kathleen Brock,32,1,16,18,18,0,1,9,128848.69,Lake Keithfort,Alabama
Justin Nunez,20,0,3,27,19,2,0,7,87781.88,West Julianberg,Ohio
Casey Spencer,63,0,2,19,8,2,0,6,33965.04,Carolyntown,Virginia
Shannon Mcintosh,41,1,41,29,13,1,1,6,112334.12,Raymondfort,Utah
Jessica Williams MD,45,1,26,34,13,2,1,30,73908.97,Port Joycechester,Maine
Cynthia Johnson,46,1,1,30,1,0,1,22,27563.36,East Craighaven,Indiana
Cheryl Brown,29,0,44,48,3,2,0,27,121442.76,Michaelfort,North Dakota
Elizabeth Walker,53,0,39,31,2,1,1,15,55224.22,East Kaitlyn,Indiana
Steven Simmons,31,1,43,26,9,0,1,25,24436.98,Port Nathanielville,Illinois
Alejandro Holt,50,0,4,22,6,1,0,19,125650.6,Lyonsville,Tennessee
James Reid,61,0,6,5,3,0,0,16,36691.87,Gibsonmouth,Georgia
Dorothy Cruz,26,0,25,41,18,2,0,28,123088.76,Jayview,New Hampshire
Holly Thomas,48,0,50,0,14,2,1,10,93048.76,East Ashley,Missouri
Erika Benson,28,1,8,48,15,1,0,27,54506.55,Whiteland,Washington
Deborah Harris,49,1,9,2,18,1,0,6,100920.29,Larrymouth,Alaska
Michael Owens,66,0,33,47,14,0,0,2,140207.25,East Joshua,Oklahoma
Jennifer Alexander,61,1,26,27,7,1,0,9,20963.68,Lake Barbara,Minnesota
Jade Robertson,34,1,49,5,13,1,1,3,132469.64,North Susan,Kansas
Jennifer Gonzalez,32,0,33,7,20,2,0,23,70296.74,Joshuahaven,North Dakota
Aaron Watson,19,1,18,24,16,0,0,6,136596.53,Stanleymouth,Alaska
Megan Howell,56,0,20,27,4,2,0,19,37695.98,West Steven,Nebraska
Taylor Rivera,35,0,13,35,7,0,1,6,137730.88,South Julie,West Virginia
Victoria Johnson,36,0,41,3,5,2,1,22,46662.14,West Jacob,North Dakota
Michelle Graham,67,0,10,14,9,1,1,23,59314.87,Lopezstad,Mississippi
Margaret Schneider,50,1,15,49,9,0,1,10,14615.91,Jonathanchester,Arkansas
Harold Mason,45,0,11,11,17,2,1,17,135327.53,Port Casey,Arkansas
Carrie Medina,38,1,46,18,8,2,0,4,75562.95,South Jackiemouth,Mississippi
Deanna Juarez,65,1,9,38,7,1,1,6,105850.2,Walterburgh,Nevada
Jacob Harris,31,1,39,28,17,0,0,13,33451.13,Lake Angela,Texas
Pamela Petty,50,0,31,22,3,0,0,13,17022.49,West Desireechester,Rhode Island
Michael Crawford,55,0,26,25,18,0,1,10,93970.98,West Brian,Missouri
Dr. James Curtis,34,1,8,6,2,1,0,9,84732.67,New Rachel,Oregon
Christine Herrera,27,1,19,4,6,0,0,5,111052.52,North Christymouth,Arkansas
Dakota Hines,53,0,19,24,17,2,0,9,122304.9,West Erinton,North Dakota
Michelle Smith,57,0,24,8,11,1,0,7,49269.59,East Nathanton,Delaware
Christine Cortez MD,63,0,15,12,13,1,1,14,59386.94,Rochaside,Missouri
Amanda May,59,1,48,18,19,0,0,2,138775.38,Latashaburgh,Kentucky
Wanda Foster,30,1,4,16,5,0,1,27,39809.23,Carmentown,Washington
Alicia Kennedy,47,0,47,21,6,0,1,28,30148.35,Debrahaven,New Mexico
Felicia Lopez,65,1,8,49,18,1,0,23,136133.3,Lake Debra,Rhode Island
Lisa Payne,22,0,18,49,20,1,0,11,87511.74,Brownmouth,Ohio
Joseph Reeves,27,0,14,1,13,2,0,8,36898.09,Lifort,Florida
Felicia Wells,45,1,20,16,8,1,1,10,33256.97,Salinasfurt,North Dakota
Kevin Martin,48,0,23,45,12,0,1,9,105323.44,Amystad,South Carolina
Stacie Turner,69,1,44,46,15,2,1,4,128632.26,Keymouth,Vermont
David Burns,24,1,27,16,3,2,0,2,46445.02,Scottstad,California
Jon Green,55,0,30,34,20,0,1,11,131707.96,New Scottport,Nevada
Andrew Campbell,59,1,43,16,5,0,0,9,25150.35,Hutchinsonland,Alaska
Kevin Marsh,32,1,35,29,2,0,0,15,35822.58,South Mary,Colorado
Timothy Nguyen,53,1,40,4,11,2,0,15,85266.9,West Aliciaborough,New Jersey
Shannon Smith,19,1,5,35,10,1,0,21,32388.17,Buchananport,Nebraska
Lisa Hayes,51,1,9,29,5,1,1,29,37290.79,New Dawn,South Carolina
Harold Hayden,54,1,19,27,17,2,1,17,38440.09,Charlenestad,Utah
Eric Lopez,42,1,1,31,20,0,1,15,34000.18,South Jameston,Idaho
Michael Rodgers,28,0,17,27,2,2,0,2,109635.9,Brockport,Massachusetts
Albert Reyes,43,1,6,40,6,2,0,26,123853.14,Lauramouth,Wyoming
Stephanie Cooper,51,1,47,42,3,2,0,10,104956.58,Meghanmouth,Montana
Kayla Martinez,19,0,8,25,16,0,1,21,128129.1,North Kathrynland,Virginia
Sarah Williams,44,0,47,34,9,1,0,30,132798.54,Jackborough,New Hampshire
Kathryn Reynolds,20,1,21,24,20,2,1,15,98797.23,New Tammyberg,New Jersey
Richard Allen,40,1,8,16,5,1,1,23,77344.19,East Andrew,North Dakota
Lori Robinson,50,1,46,20,4,0,1,7,75290.07,Port Stephen,Idaho
Robert Johnson,48,0,31,13,4,1,0,25,89820.35,Robertoberg,Alaska
Angela Barnett,33,0,49,2,7,0,0,30,132891.64,West Emily,New Jersey
Rhonda Holden,33,1,7,34,4,2,0,5,113115.0,Matthewberg,Montana
James Brown,48,1,48,32,20,2,1,16,94330.47,Lake Bruce,Minnesota
Jennifer Garcia,29,1,22,45,19,1,0,20,103724.38,Kennedyport,Michigan
Kimberly Spencer,26,1,11,34,10,0,0,6,121911.49,North Ethanfurt,Arizona
Donald Simpson,69,1,11,46,1,0,0,17,144374.51,South Tinafurt,Pennsylvania
Emily Owen,27,1,5,12,13,1,1,2,148576.6,South Theresahaven,Ohio
Jasmine King,65,0,40,1,6,0,0,9,109908.48,Lake Staceyshire,Michigan
David Moore,54,1,38,34,6,2,0,18,51797.71,South Aaron,South Carolina
Joshua Butler,51,0,49,39,5,1,0,18,114537.09,New Angela,Oregon
Manuel Bates,70,1,25,11,6,0,1,27,120726.03,Monicaborough,Hawaii
Jeffrey Harrington,66,1,1,49,11,1,0,23,85762.46,South Andrea,Delaware
Pamela Wilkins,23,1,23,11,16,0,0,28,70912.18,Juanside,Ohio
Steven Frazier,65,1,40,41,7,2,1,7,81228.29,North Bradleyburgh,Delaware
Krystal Wang,68,1,35,42,6,2,0,24,70255.96,East Brian,Tennessee
Sarah Fox,46,1,47,50,17,0,1,10,88614.33,Smithstad,South Dakota
Taylor White,31,1,18,26,5,1,1,29,19947.58,Medinaburgh,New Jersey
Tanner Brooks,57,0,38,36,9,0,0,8,123983.56,Nathanview,West Virginia
Lisa Fletcher,59,1,19,16,14,1,0,1,18511.71,Taylormouth,Vermont
Lisa Obrien,42,0,45,6,7,2,0,9,47934.85,West Bryanside,Maryland
Lauren Harrell,68,1,41,19,10,1,0,30,53722.58,Suttonburgh,Arkansas
Teresa Anderson,62,1,35,23,17,0,1,30,58660.88,Smithborough,Louisiana
Pamela Mercado,67,1,44,10,16,0,0,28,71016.45,Smithview,Nevada
Mark Hammond,28,1,35,46,2,1,1,16,106521.31,Mccoyfort,Virginia
Deanna Joseph,23,1,19,27,5,0,0,19,27324.5,Davisview,North Dakota
Kimberly Bowers,69,1,11,25,1,1,0,10,97739.39,Arroyomouth,Arkansas
Erik Buck,65,1,25,0,3,2,0,19,87312.2,Port Marcuston,Maine
Misty Palmer,37,1,20,48,10,0,1,17,137816.61,Mcmahonshire,Idaho
Matthew Richards,55,0,9,47,8,2,1,14,51050.02,Lake Erica,Maine
David Beard,62,1,36,38,5,0,0,19,47957.64,Sueland,Oregon
Carrie Morgan,19,0,32,38,5,2,1,12,73275.64,East Shannon,Colorado
Tammy Ramirez,25,1,21,12,8,1,0,27,128995.91,Philliphaven,North Carolina
Kyle Mitchell,30,0,47,4,3,0,0,11,92302.37,Singhborough,New Mexico
Jesse Ramirez,58,1,8,21,12,2,0,17,146520.98,Marissastad,New Hampshire
Kevin Pollard,38,0,46,36,6,1,1,3,80023.84,North Matthewfort,Wyoming
Glenn Howard,26,1,4,44,4,1,0,20,50658.93,West Gabriel,Alabama
Christopher Smith,23,0,7,8,18,0,1,14,120337.89,Lovehaven,New York
Mariah Davis,34,0,23,42,17,0,1,6,123049.55,East Josephmouth,Georgia
Joseph Drake,30,1,1,26,2,1,1,23,50249.91,Tuckerville,Nebraska
Logan Sandoval,44,1,45,24,9,0,0,13,25019.1,East Elizabethbury,North Dakota
Kathryn Gutierrez,63,1,14,5,6,1,0,1,126721.24,Murillomouth,Delaware
Brandon Ingram,39,1,12,3,2,1,1,3,106750.57,Lake Justin,Minnesota
Benjamin Murphy,19,1,22,11,8,0,1,21,47424.48,Richview,Louisiana
Terry Brennan,57,1,20,43,14,0,0,1,133836.73,Port April,Georgia
Laurie Bradshaw,53,1,49,28,5,0,0,7,114354.68,Alyssafort,Wisconsin
James Arnold,45,1,49,3,13,1,0,20,122240.37,West Anna,Hawaii
Ryan Dunlap,58,0,43,36,9,1,0,7,32624.2,Josephbury,Ohio
Amy Vasquez,33,0,35,42,13,0,0,4,115123.88,Wongfort,California
Frank Wright,68,1,44,38,2,1,0,15,36439.46,Lake Brianna,Mississippi
Courtney Garcia,58,0,4,0,13,1,1,6,66084.69,Dominguezside,South Carolina
Melissa Jones,26,0,10,37,5,0,1,18,139635.72,North Michaelchester,Virginia
Amy Alexander,66,0,28,9,12,1,0,4,15990.58,Christensenchester,Minnesota
Elaine Howard,63,1,46,47,15,0,1,17,142501.69,Lisastad,West Virginia
Elizabeth Miller,50,0,15,48,1,2,0,14,15085.3,Mistymouth,Missouri
Julie Barron,22,1,16,12,17,1,0,8,95977.86,West Maria,Kentucky
George Ross,29,0,38,28,1,0,0,2,127989.72,Taylorhaven,Rhode Island
Linda Ayala,43,1,1,2,17,0,1,13,142045.59,North Kimberlyfurt,Pennsylvania
Connor Kennedy,27,1,11,1,9,1,0,5,31723.77,New Joseph,Maine
Omar Roberts,33,1,5,47,14,0,1,12,86063.61,West Roberttown,Mississippi
Tiffany Watts,55,1,20,0,16,2,0,1,99023.58,Gonzalesburgh,Mississippi
Molly Carpenter,38,0,40,31,15,2,0,1,134913.57,East Tracy,Florida
Nicole Wood,53,1,33,20,14,2,0,19,74065.4,Port Robert,Ohio
Paul Lewis,34,0,10,0,2,2,1,26,123197.25,Port James,Iowa
Megan Skinner,28,0,4,3,20,0,1,20,33221.62,West Regina,South Carolina
Haley Hernandez,43,0,37,1,16,1,0,26,65411.2,North Sara,Florida
Joseph Myers,64,1,13,13,17,1,0,6,103102.42,Smithton,Nevada
Frank Chan,19,1,47,18,5,1,0,20,79728.03,South Randy,South Carolina
Joseph Kaiser,44,1,45,25,18,1,0,16,23665.21,South Robertborough,Washington
Robert Floyd,24,1,32,44,20,1,0,30,134337.82,East Jean,Hawaii
Kristin Wood,44,0,26,20,19,1,0,27,123690.78,Garciashire,Florida
Jay Silva,57,1,25,8,1,0,1,23,138384.6,Gonzalezburgh,New York
Joshua Rice,69,1,11,31,18,0,1,2,76381.6,Petersfort,Illinois
Dr. Anne Gonzalez,55,1,39,44,10,1,1,2,42056.42,Evanview,Iowa
Debra Fowler,46,0,19,26,14,2,0,3,95307.63,South Chelsea,Oklahoma
Hannah White,40,1,27,36,8,0,1,5,48775.32,New Anthonymouth,Arkansas
Matthew Ibarra,35,1,8,38,18,1,1,26,49306.68,South Tammyton,Idaho
Jake Hoover,60,0,13,41,4,2,0,16,32380.89,Floresfurt,Kansas
Todd Thomas,39,1,34,15,19,0,0,4,60785.47,East Johnmouth,Michigan
Michael Brown,58,0,49,7,12,2,0,12,94966.18,Lake Pamela,Nevada
Johnathan Craig,69,1,13,27,10,1,1,29,27681.88,Port Joanne,Minnesota
Daniel Roberts,53,1,6,2,17,0,0,30,108569.39,East Joseph,Michigan
Michael Flowers,26,1,10,49,16,0,0,13,148608.2,Port Sandra,Wyoming
Hannah Wilson,31,0,26,46,5,0,0,8,149102.89,Lake Brandyville,Illinois
Nicholas Dorsey,47,1,34,16,12,1,1,11,101080.38,North James,Georgia
Catherine Williams,20,1,50,14,16,2,0,14,86172.59,South Jessicachester,Pennsylvania
Julie Rose,42,0,36,35,2,1,1,14,74364.04,Noahstad,New York
Christian Perez,55,1,8,43,1,2,0,18,91830.28,North Emilyview,Indiana
Barry Johnson,45,1,47,47,20,2,0,5,102532.23,Gregoryland,Arizona
Brittany Harris,59,1,24,46,18,2,0,24,107259.5,Mckinneyberg,Maine
Rebecca Hayes,61,1,37,45,14,2,0,28,99809.86,Kimberlyview,Indiana
Jacob Hampton,57,1,35,16,14,1,0,19,11512.36,Michelleshire,California
John Newman,70,0,35,37,13,2,0,14,32268.56,South Melanie,Massachusetts
James Mcbride,21,1,21,11,9,0,0,27,147967.76,North Megan,Virginia
April Proctor,66,0,29,46,2,2,1,8,31278.88,Matthewborough,Illinois
Christine Ingram,62,0,2,25,2,0,0,6,47624.98,North Adam,Connecticut
Alexander Vega,50,1,10,22,16,1,0,13,44059.75,Kellymouth,Virginia
Laura Cochran MD,34,0,45,9,16,1,1,7,146059.57,New Keith,New York
Thomas Gallegos,30,1,3,31,13,0,0,22,54829.93,Selenabury,Washington
Brittany Odom,28,0,24,13,2,0,0,12,75758.57,Nathantown,Montana
Heather Lee,18,0,1,42,13,1,1,1,93657.49,Weststad,North Carolina
Samuel Hall,62,0,16,5,1,2,1,14,144192.67,Port Samanthashire,Tennessee
Kendra Doyle,68,0,35,23,2,2,1,3,44079.74,Greenborough,Iowa
Rachel Miller,20,0,5,16,19,1,0,18,69593.98,Kevinland,California
Gerald Hood,54,1,7,7,12,1,1,8,31589.27,Jessicafurt,Delaware
William Jimenez,40,1,25,25,11,1,0,30,128521.24,East Aaron,North Carolina
Mark Macdonald,41,1,10,3,14,2,1,8,35701.8,North Brian,New Hampshire
Darlene Williams,49,0,30,15,18,0,0,12,90973.37,New Brettville,Massachusetts
Lauren Pierce,69,0,48,35,9,0,1,10,106206.62,Whitemouth,New York
Crystal Jones,34,0,38,8,14,0,0,12,148696.15,Lake Christopher,New Jersey
Nicholas Mcclain,68,0,2,8,18,0,0,16,118912.12,Lake Courtneyport,Arizona
Jeffrey Parker,42,0,19,14,6,1,0,9,104977.76,Peckview,Delaware
Dr. Jason Jones,56,0,15,39,15,2,1,15,129018.83,Rickyburgh,Wyoming
Christopher Elliott,30,0,28,33,19,1,0,13,83080.96,North Michaelview,Minnesota
Amy Barker,48,1,45,23,10,1,1,21,62100.86,Wallaceberg,Florida
Justin Gardner,59,0,42,26,14,1,1,22,126481.49,North Christopherville,Minnesota
Joshua Brown,34,1,13,32,17,1,1,22,36672.5,Mannfort,Virginia
Lorraine Lewis,49,0,22,13,6,2,0,27,128878.95,Gomezside,North Dakota
Anthony Blake,54,0,3,31,18,0,0,1,135409.95,West Patrickbury,Maryland
Zachary Douglas,44,1,23,17,17,2,0,21,144788.92,Lake Ashley,Washington
Michael Bennett,61,1,42,26,9,2,0,1,95622.86,North Juanton,Wisconsin
Caitlin Brown,19,1,41,46,4,2,0,10,104232.18,North Chelseamouth,Michigan
Lynn Page,38,1,27,13,18,2,0,12,120794.77,Hughestown,Hawaii
Brandi Adams,19,1,23,49,13,1,1,22,131353.02,New Brian,South Dakota
Beth Cameron,57,0,48,13,9,0,0,19,44397.0,Hollybury,Vermont
Charles Hernandez,48,0,11,48,4,0,1,21,96002.69,West Mercedeschester,Colorado
Kelly Davis,52,1,25,26,18,1,0,16,70123.84,East Dawn,Kansas
Jared Mason,60,1,23,37,18,2,0,25,87100.15,West Hannahmouth,Montana
Amanda Sanchez,67,1,32,12,17,0,0,22,133411.64,Lake Karen,Oklahoma
Peggy Gillespie,50,1,34,47,20,1,0,28,127964.1,Clarkeland,New Mexico
Colleen Burns,22,0,47,25,2,1,1,7,126878.16,Sarastad,Louisiana
Wendy Houston,43,0,44,26,2,0,0,23,21835.06,Natashaview,Arizona
Yolanda Mercado,62,1,48,11,4,0,1,19,112881.54,Armstrongview,Missouri
Denise Brown,36,1,34,32,15,1,0,9,114182.76,Graytown,New York
Daniel Gutierrez,46,1,45,24,10,2,1,1,87210.69,Vanessafurt,Montana
Peter Avila,30,1,5,11,20,1,1,12,87474.29,North Heatherfurt,Nebraska
James Hamilton,70,1,2,11,6,0,1,28,78481.54,Lake Susan,Washington
Laura Guzman,29,1,41,20,3,0,0,21,135014.37,Simmonsland,Pennsylvania
Anna Coleman,46,1,44,37,3,0,0,22,16273.83,Carterton,Ohio
Jerry Bush,26,1,3,33,15,2,1,14,122506.17,Ramirezview,Michigan
Jessica Morton,37,1,33,35,1,2,0,19,82453.28,New Amanda,West Virginia
Douglas Ross,63,1,13,15,11,2,1,12,111562.33,North Patriciaborough,Kansas
Nicholas Knox,20,0,33,43,9,0,0,2,120645.59,Mooreside,New Jersey
Amanda Riley,51,0,20,2,4,0,1,6,124196.5,Gregoryburgh,Mississippi
Amy Bender,70,1,43,4,17,2,0,27,49883.79,Lake Marissafurt,Tennessee
Diana Craig,30,0,46,22,4,1,0,20,115700.94,Mortonfurt,New Hampshire
Sarah Singleton,57,1,38,24,4,1,0,30,112610.31,Danielberg,California
Bradley Johnson,50,0,32,13,6,0,1,27,104568.97,Garciaton,Florida
Jeremy Macdonald,45,1,7,2,6,2,1,17,30690.12,Maynardberg,Iowa
Robert Lee,57,0,9,47,10,2,0,21,122887.02,Zavalamouth,Kentucky
Kelly Anderson,49,1,42,23,17,1,1,30,135119.52,Lake Pamela,West Virginia
Steven Jones,49,1,19,29,2,2,0,11,46815.95,North Justintown,Pennsylvania
Anna Ruiz,70,1,12,41,20,2,0,28,51170.63,West David,Massachusetts
Joseph Young,66,1,4,20,19,2,1,15,114177.36,Lake Amy,Pennsylvania
Chris Boyer,43,1,41,47,7,2,1,11,26979.2,East Andreamouth,Connecticut
Jessica Johnson,64,1,14,42,8,1,0,8,87381.51,New Mary,Oklahoma
